ID,Product Choice
381,Product A
382,Product B
383,Product C
384,Product C
385,Product C
386,Product B
387,Product C
388,Product C
389,Product B
390,Product C
391,Product B
392,Product C
393,Product A
394,Product C
395,Product A
396,Product C
397,Product C
398,Product C
399,Product A
400,Product B
401,Product C
402,Product A
403,Product C
404,Product A
405,Product A
406,Product A
407,Product C
408,Product C
409,Product C
410,Product A
411,Product C
412,Product B
413,Product A
414,Product B
415,Product A
416,Product B
417,Product C
418,Product A
419,Product C
420,Product A
421,Product A
422,Product A
423,Product A
424,Product C
425,Product C
426,Product A
427,Product C
428,Product B
429,Product A
430,Product B
431,Product A
432,Product B
433,Product B
434,Product C
435,Product B
436,Product C
437,Product C
438,Product C
439,Product C
440,Product C
441,Product C
442,Product A
443,Product A
444,Product C
445,Product A
446,Product A
447,Product B
448,Product A
449,Product B
450,Product C
451,Product A
452,Product B
453,Product C
454,Product C
455,Product C
456,Product B
457,Product C
458,Product C
459,Product A
460,Product A
461,Product A
462,Product A
463,Product C
464,Product A
465,Product C
466,Product C
467,Product C
468,Product B
469,Product C
470,Product C
471,Product C
472,Product A
473,Product C
474,Product C
475,Product A
476,Product B
477,Product C
478,Product B
479,Product C
480,Product C
481,Product C
482,Product A
483,Product A
484,Product C
485,Product A
486,Product C
487,Product C
488,Product A
489,Product A
490,Product C
491,Product C
492,Product C
493,Product A
494,Product A
495,Product C
496,Product C
497,Product C
498,Product A
499,Product C
500,Product C
501,Product A
502,Product A
503,Product C
504,Product B
505,Product C
506,Product A
507,Product C
508,Product C
509,Product A
510,Product B
511,Product C
512,Product C
513,Product A
514,Product A
515,Product A
516,Product C
517,Product C
518,Product C
519,Product A
520,Product C
521,Product C
522,Product A
523,Product C
524,Product A
525,Product C
526,Product A
527,Product C
528,Product C
529,Product A
530,Product C
531,Product C
532,Product A
533,Product A
534,Product C
535,Product A
536,Product C
537,Product C
538,Product A
539,Product A
540,Product A
541,Product A
542,Product C
543,Product A
544,Product A
545,Product C
546,Product A
547,Product C
548,Product A
549,Product A
550,Product A
551,Product A
552,Product C
553,Product A
554,Product C
555,Product C
556,Product C
557,Product A
558,Product C
559,Product C
560,Product C
561,Product C
562,Product A
563,Product C
564,Product A
565,Product C
566,Product C
567,Product C
568,Product A
569,Product A
570,Product A
571,Product C
572,Product C
573,Product C
574,Product A
575,Product C
576,Product C
577,Product A
578,Product C
579,Product C
580,Product C
581,Product C
582,Product C
583,Product A
584,Product A
585,Product A
586,Product C
587,Product C
588,Product C
589,Product A
590,Product C
591,Product A
592,Product A
593,Product C
594,Product A
595,Product C
596,Product C
597,Product C
598,Product A
599,Product C
600,Product B
